symbol,entry_time,exit_time,side,entry_price,exit_price,position_size,pnl_abs,pnl_pct,duration_hours,duration_days,trade_type,cumulative_pnl,portfolio_value
DOGE/USDT,2025-06-23 22:00:00,2025-06-26 13:00:00,BUY_SL,0.16473,0.15848,1000,-37.94087294360455,-3.7940872943604558,63.0,2.625,Stop Loss,7.148132095940802,10007.148132095941
DOGE/USDT,2025-06-26 14:00:00,2025-07-02 16:00:00,BUY_TP,0.16019,0.17202,1000,73.8498033585118,7.384980335851181,146.0,6.083333333333333,Take Profit,80.9979354544526,10080.997935454452
SOL/USDT,2025-06-19 08:00:00,2025-06-20 17:00:00,BUY_SL,145.33,138.46,1000,-47.27172641574351,-4.7271726415743505,33.0,1.375,Stop Loss,33.726209038709094,10033.726209038708
SOL/USDT,2025-06-23 13:00:00,2025-06-23 16:00:00,BUY_SL,136.61,132.17,1000,-32.50128101895927,-3.2501281018959274,3.0,0.125,Stop Loss,1.2249280197498251,10001.22492801975
SOL/USDT,2025-06-23 18:00:00,2025-06-25 07:00:00,BUY_TP,138.13,147.02,1000,64.35966118873536,6.4359661188735355,37.0,1.5416666666666667,Take Profit,65.58458920848518,10065.584589208485
DOT/USDT,2025-06-23 22:00:00,2025-06-26 13:00:00,BUY_SL,3.3979,3.277,1000,-35.58079990582413,-3.558079990582412,63.0,2.625,Stop Loss,30.003789302661055,10030.00378930266
DOT/USDT,2025-07-07 13:00:00,2025-07-09 21:00:00,BUY_TP,3.4144,3.6486,1000,68.59184629803185,6.859184629803185,56.0,2.3333333333333335,Take Profit,98.5956356006929,10098.595635600694
AVAX/USDT,2025-06-20 07:00:00,2025-06-20 14:00:00,BUY_SL,18.36,17.76,1000,-32.67973856209139,-3.2679738562091387,7.0,0.2916666666666667,Stop Loss,65.91589703860151,10065.915897038602
AVAX/USDT,2025-06-21 01:00:00,2025-06-21 14:00:00,BUY_SL,17.69,17.13,1000,-31.656302996043088,-3.1656302996043086,13.0,0.5416666666666666,Stop Loss,34.259594042558426,10034.259594042558
AVAX/USDT,2025-06-23 13:00:00,2025-06-23 16:00:00,BUY_SL,17.08,16.33,1000,-43.91100702576112,-4.3911007025761135,3.0,0.125,Stop Loss,-9.651412983202697,9990.348587016797
AVAX/USDT,2025-06-27 15:00:00,2025-06-29 22:00:00,BUY_TP,17.53,18.81,1000,73.01768397033642,7.301768397033642,55.0,2.2916666666666665,Take Profit,63.366270987133724,10063.366270987133
SHIB/USDT,2025-06-23 00:00:00,2025-06-23 22:00:00,BUY_TP,1.068e-05,1.164e-05,1000,89.8876404494383,8.98876404494383,22.0,0.9166666666666666,Take Profit,153.25391143657203,10153.253911436572
LTC/USDT,2025-06-23 17:00:00,2025-06-29 22:00:00,BUY_TP,81.90184,88.10453,1000,75.73321918042366,7.573321918042366,149.0,6.208333333333333,Take Profit,228.98713061699567,10228.987130616995
ATOM/USDT,2025-06-19 19:00:00,2025-06-21 13:00:00,BUY_SL,4.0287,3.8843,1000,-35.84282771117225,-3.584282771117225,42.0,1.75,Stop Loss,193.14430290582342,10193.144302905823
ATOM/USDT,2025-06-23 13:00:00,2025-06-24 16:00:00,BUY_TP,3.8696,4.1328,1000,68.01736613603458,6.801736613603458,27.0,1.125,Take Profit,261.161669041858,10261.161669041858
ATOM/USDT,2025-07-02 03:00:00,2025-07-02 16:00:00,BUY_TP,3.955,4.2074,1000,63.817951959544814,6.381795195954481,13.0,0.5416666666666666,Take Profit,324.9796210014028,10324.979621001403
ALGO/USDT,2025-06-20 17:00:00,2025-06-21 21:00:00,BUY_SL,0.16671,0.15948,1000,-43.36872413172567,-4.336872413172567,28.0,1.1666666666666667,Stop Loss,281.6108968696771,10281.610896869677
